狭い, せまい 좁다
千, せん 천
先月, せんげつ 지난달
先週, せんしゅう 지난주
先生, せんせい 선생님
そこ, 거기
そちら, 그쪽
外, そと 밖. 바깥
その, 그
側·傍, そば 곁. 옆
そば, 메밀 국수
空, そら 하늘
それ, 그것
そんな, 그런
大学, だいがく 대학
大丈夫だ, だいじょうぶだ 괜찮다
大好きな, だいすきな 매우 좋아하는
台所, だいどころ 부엌
大変, たいへん 몹시. 매우. 대단히
大変な, たいへんな 힘든. 큰일인
高い, たかい ①높다. ②비싸다
たくさん, 많음. 많이
だけ, …만. …뿐
出す, だす 내다. 내놓다. …하기 시작하다
立つ, たつ 서다. 일어서다. 일어나다
建物, たてもの 건물
楽しい, たのしい 즐겁다
食べ物, たべもの 음식물. 먹을 것
食べる, たべる 먹다
卵, たまご 알. 달걀. 계란
誰, だれ 누구
誕生日, たんじょうび 생일
だんだん, 차차. 점점
小さい, ちいさい 작다
小さな, ちいさな 작은
近い, ちかい 가깝다
近く, ちかく 가까운 곳. 근처
地下鉄, ちかてつ 지하철
父, ちち (나의) 아버지
ちょっと, 조금. 좀. 잠깐
一日, ついたち 1일(날짜)
使う, つかう 쓰다. 사용하다
次, つぎ 다음
机, つくえ 책상
作る, つくる 만들다
強い, つよい 강하다. 세다
手, て 손
手紙, てがみ 편지
出口, でぐち 출구
でも, …라도. …나. …든지
出る, でる 나가다. 나오다
電気, でんき 전기. 전기불
天気, てんき 날씨
電車, でんしゃ 전철
電話, でんわ 전화
どう, 어떻게
どういたしまして, 천만에요. 별 말씀을 다 하십니다
どうして, 어째서. 왜
どうぞ, 아무쪼록. 부디. 어서 …하세요
動物, どうぶつ 동물
どうも, 정말. 참. 매우 (고마워요)
十, とお 열
遠い, とおい 멀다
十日, とおか 10일
遠く, とおく 먼데. 먼곳. 멀리
時時, ときどき 가끔. 때때로
時計, とけい 시계
どこ, 어디
所, ところ 곳. 장소
年, とし 해. 나이. 연령
図書館, としょかん 도서관
どちら, 어느 쪽
とても, 대단히. 매우
どなた, 어느 분. 누구
隣, となり 이웃. 옆. 이웃집
どの, 어느
飛ぶ, とぶ 날다
友達, ともだち 친구
土曜日, どようび 토요일
鳥, とり 새
鳥肉, とりにく 닭고기
撮る, とる 찍다
どれ, 어느 것
どんな, 어떤
ない, 없다
中, なか 가운데. 중. 안. 속
長い, ながい 길다
なぜ, 왜. 어째서
夏, なつ 여름
夏休み, なつやすみ 여름 방학. 여름휴가
七, なな 일곱. 7
七つ, ななつ 일곱
七人, ななにん 7명
七年, ななねん 7년
七分, ななふん 7분
何, なに 무엇
七日, なのか 7일
名前, なまえ 이름
習う, ならう 배우다
何, なん ＝なに. 몇…
何階, なんがい 몇 층(なんかい로도 읽음)
何回, なんかい 몇 회. 몇 번(횟수)
何月, なんがつ 몇 월
何個, なんこ 몇 개
何時, なんじ 몇 시
何日, なんにち 며칠
何人, なんにん 몇 명
何年, なんねん 몇 년
何杯, なんばい 몇 잔
何番, なんばん 몇 번(번호)
何分, なんぷん 몇 분
何本, なんぼん 몇 자루. 몇 병
何枚, なんまい 몇 장
何曜日, なんようび 무슨 요일
二, に 2
二月, にがつ 2월
賑やかな, にぎやかな 활기찬. 번화한
肉, にく 고기
西, にし 서쪽
二時, にじ 2시
二十一日, にじゅういちにち 21일
二十九日, にじゅうくにち 29일
二十五日, にじゅうごにち 25일
二十三日, にじゅうさんにち 23일
二十七日, にじゅうしちにち 27일
二十二日, にじゅうににち 22일
二十八日, にじゅうはちにち 28일
二十四日, にじゅうよっか 24일
二十六日, にじゅうろくにち 26일
日曜日, にちようび 일요일
二年, にねん 2년
二分, にふん 2분
日本, にほん 일본
日本人, にほんじん 일본인
庭, にわ 정원. 마당. 뜰
猫, ねこ 고양이
寝る, ねる 자다
登る, のぼる 올라가다
飲(み)物, のみもの 마실 것. 음료
飲む, のむ 마시다. (약을) 먹다
乗る, のる (탈것에) 타다
はい, 네
入る, はいる 들어오다. 들어가다
葉書, はがき 엽서
始まる, はじまる 시작되다
始めまして·初めまして, はじめまして 처음 뵙겠습니다
二十歳, はたち 스무 살
八, はち 8
八月, はちがつ 8월
八時, はちじ 8시
八人, はちにん 8명
八年, はちねん 8년
八分, はちふん 8분
二十日, はつか 20일
八分, はっぷん 8분
鼻, はな 코
花·華, はな 꽃
話, はなし 이야기. 말
話す, はなす 이야기하다. 말하다
母, はは (나의) 어머니
速い, はやい 빠르다
早い, はやい 이르다
春, はる 봄
番号, ばんごう 번호
晩御飯, ばんごはん 저녁 식사
東, ひがし 동쪽
低い, ひくい 낮다
飛行機, ひこうき 비행기
人, ひと 사람
一つ, ひとつ 하나
一人, ひとり 한 사람
暇な, ひまな 한가한
百, ひゃく 백
百点, ひゃくてん 100점
病院, びょういん 병원
病気, びょうき 병
昼, ひる 낮
昼御飯, ひるごはん 점심
広い, ひろい 넓다
服, ふく 옷. 양복
二つ, ふたつ 둘
二人, ふたり 두 사람
二日, ふつか 2일
冬, ふゆ 겨울
降る, ふる (비나 눈이) 내리다
古い, ふるい 오래되다. 낡다
部屋, へや 방
勉強, べんきょう 공부
便利な, べんりな 편리한
方, ほう …쪽. …하는 편
外, ほか 다른 것. …외
本, ほん 책. …자루. …병
毎朝, まいあさ 매일 아침
毎月, まいげつ ＝ まいつき 매월
毎週, まいしゅう 매주
毎日, まいにち 매일
毎年, まいねん ＝ まいとし 매년
毎晩, まいばん 매일 밤
前, まえ 앞. 전
曲がる, まがる 구부러지다. 굽다. 방향을 바꾸다. 돌다
まずい, 맛없다. 서투르다. 졸렬하다. 곤란하다
また, 또. 또한. 다시
まだ, 아직
町, まち 동네. …동
待つ, まつ 기다리다
まっすぐ, 쭉. 곧음. 똑바로
窓, まど 창문
丸い, まるい 둥글다
磨く, みがく 닦다
右, みぎ 오른쪽
短い, みじかい 짧다
水, みず 물
店, みせ 가게
見せる, みせる 보여주다
道, みち 길. 도로
三日, みっか 3일
三つ, みっつ 셋
緑, みどり 녹색. 초록
皆さん, みなさん 여러분
南, みなみ 남쪽
耳, みみ 귀
見る, みる 보다
皆, みんな 모두
六日, むいか 6일
難しい, むずかしい 어렵다
六つ, むっつ 여섯
目, め 눈
眼鏡, めがね 안경
もう一度, もういちど 한번 더
木曜日, もくようび 목요일
もしもし, 여보세요
持つ, もつ 쥐다. 들다. 가지다
もっと, 더. 더욱
物, もの 것. 물건. …물
門, もん 문. 대문. 출입구. …문
問題, もんだい 문제
八百屋, やおや 야채가게
野菜, やさい 야채. 채소
安い, やすい 싸다. 저렴하다
休み, やすみ 쉼. 휴식. 쉬는 시간. 휴일. 휴가
休む, やすむ 쉬다
八つ, やっつ 여덟
山, やま 산
夕方, ゆうがた 저녁때. 해질녘
夕御飯, ゆうごはん 저녁밥
夕飯, ゆうはん ＝ ゆうごはん 저녁밥
雪, ゆき 눈
ゆっくり, ① 천천히. ② 푹(쉬다)
良い, よい ＝いい 좋다
八日, ようか 8일
洋服, ようふく 양복
横, よこ 옆. 가로. 측면
四時, よじ 4시
四日, よっか 4일. 나흘. 초나흗날
四つ, よっつ 넷
四人, よにん 4명
四年, よねん 4년
呼ぶ, よぶ 소리내어 부르다
読む, よむ 읽다
夜, よる 밤
弱い, よわい 약하다
四, よ 넷. 4
四分, よんぷん 4분
来月, らいげつ 다음 달
来週, らいしゅう 다음 주
来年, らいねん 내년
留学生, りゅうがくせい 유학생
料理, りょうり 요리
六, ろく 6
六月, ろくがつ 6월
六時, ろくじ 6시
六人, ろくにん 6명
六年, ろくねん 6년
六分, ろっぷん 6분
分かる, わかる 알다. 판단·이해할 수 있다
私, わたし 나. 저
悪い, わるい 나쁘다. 못되다. 좋지 않다
